,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best,communal
114,IND86952,29-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Manipur,Churachandpur,Churachandpur,Churachandpur,24.3334,93.6699,2,Sangai Express,Subnational,"On 29 December 2020, hundreds of villagers from Tuilaphai and adjoining villages staged a protest by blocking the NH-150 (Tipaimukh Road) (coded as Churachandpur, Churachandpur district, Manipur) demanding the release of two villagers that were picked from their residence allegedly by the Assam Rifles.",0,crowd size=hundreds,1707254079,6295,10340,18377,6295,0
118,IND86950,29-Dec-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),Muslim Group (India),5,Rioters (India),Hindu Group (India),5,55,,356,South Asia,India,Madhya Pradesh,Indore,Depalpur,Chandankhedi,22.9821,75.6501,1,Indian Express; Scroll (India); Times of India,National,"On 29 December 2020, members of Muslim and Hindu communities clashed and threw stones in the Chandankhedi village (Indore, Madhya Pradesh) when members of Hindutva groups shouted 'Jai Shri Ram' slogans in front of a mosque, during a rally, to collect donations for the construction of the Ram temple in Ayodhya. The participants of the Hindutva rally hoisted saffron flags, climbed the mosque, and tried to damage the minaret, nearby houses, and vehicles.",0,crowd size=no report,1712177100,610,1549,11743,1549,1
126,IND86976,29-Dec-20,2020,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (India),,3,Civilians (India),TMC: Trinamool Congress Party,7,37,Civilian targeting,356,South Asia,India,West Bengal,Howrah,Bally Jagachha,Howrah,22.5968,88.263,2,Times of India,National,"On 29 December 2020, unidentified armed assailants shot dead a TMC member outside the Shalimar railway station in Shibpur area (Howrah district, West Bengal), when he was returning to home from work in a suspected incident related to political violence.",1,,1716919056,16664,44965,71655,71655,0
139,IND86898,28-Dec-20,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (India),Naxal-Maoist Rebels (India),5,,,0,50,,356,South Asia,India,Odisha,Kalahandi,Sadar,Bhawanipatna,19.9072,83.1615,2,Orissa TV,Subnational,"On 28 December 2020, Maoists staged blocked roads by felling trees in Kalahandi district (Odisha), coded as Bhawanipatna, against the attack on their leaders by the police.",0,crowd size=no report,1618492957,8869,18298,24518,18298,0
189,IND86855,27-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Delhi,East Delhi,Preet Vihar,Delhi - Trilokpuri,28.6033,77.3079,2,United News of India; DNA Daily News and Analysis; Indian Express,National,"On 27 December 2020, farmers from over 30 organisations staged a protest for the 27th day at the Delhi-Noida border at Chilla near Trilokpuri, New Delhi (Delhi-Trilokpuri). Farmers are demonstrating against recently passed farm laws.",0,crowd size=no report,1680633732,131724,235980,470867,131724,0
190,IND86837,27-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Haryana,Kurukshetra,Pehowa,Pehowa,29.9789,76.5824,1,Hindustan Times,National,"On 27 December 2020, farmers took over the Thana toll plaza in Pehowa (Kurukshetra, Haryana) for the 3rd day, in protest against recently passed farm laws.",0,crowd size=no report,1680633746,16348,23116,53835,16348,0
193,IND86871,27-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Uttar Pradesh,Gautam Buddha Nagar,Dadri,Dadri,28.5525,77.554,1,Hindustan Times,National,"On 27 December 2020, farmers joined by women and children, took over the Kitlana toll plaza in Dadri city (Gautam Buddha Nagar, Haryana) for the 3rd day, in protest against recently passed farm laws.",0,crowd size=no report,1680633747,27125,48117,89053,27125,0
195,IND86867,27-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Punjab,Bathinda,Talwandi Sabo,Talwandi Sabo,29.983,75.083,1,Pioneer (India),National,"On 27 December 2020, locals and farmers staged demonstrations and banged thalis across Punjab including Talwandi Sabo (Bathinda, Punjab), in response to PM Modi's monthly 'Mann ki baat' address. This was a part of the ongoing farmers protests against centrally passed farm laws.",0,crowd size=no report,1680633751,3129,11379,19217,3129,0
202,IND86833,27-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); Swaraj Party,6,,,0,60,,356,South Asia,India,Haryana,Rewari,Bawal,Jaisinghpur Khera,28.0563,76.5021,1,Times of India,National,"On 27 December 2020, thousands of farmers led by Swaraj Abhiyan leader staged a protest in Jaisinghpur Khera (Rewari, Haryana) for the 15th day, against recently passed farm laws.",0,crowd size=thousands,1680633763,804,1687,11326,804,0
220,IND86863,27-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Punjab,Jalandhar,Jalandhar-I,Jalandhar,31.3255,75.5791,2,Pioneer (India),National,"On 27 December 2020, locals and farmers staged demonstrations and banged thalis across Punjab including Jalandhar district, in response to PM Modi's monthly 'Mann ki baat' address. This was a part of the ongoing farmers protests against centrally passed farm laws.",0,crowd size=no report,1716919056,24121,93591,335294,24121,0
222,IND86826,26-Dec-20,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (India),TMC: Trinamool Congress Party,5,Rioters (India),BJP: Bharatiya Janata Party,5,55,,356,South Asia,India,West Bengal,Kolkata,Kolkata,Kolkata,22.5728,88.3747,1,Times of India; Free Press Journal (India); Asianet Newsable,National,"On 26 December 2020, members of TMC and BJP clashed with each at Hastings in Kolkata city (Kolkata district, West Bengal), during a rally staged by the former against defection of a TMC member to BJP.",0,crowd size=no report,1610484553,68260,372495,1144661,372495,0
230,IND86806,26-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Karnataka,Bengaluru Urban,Bengaluru North,Bengaluru,12.9719,77.5936,1,Indo-Asian News Service,International,"On 26 December 2020, a protest was held in Bengaluru city (Bengaluru, KN) against the vandalization of the bust of a Kannada actor.",0,crowd size=no report,1618493019,156230,507728,2683820,156230,0
248,IND86790,26-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); Swaraj Party,6,,,0,60,,356,South Asia,India,Haryana,Rewari,Bawal,Jaisinghpur Khera,28.0563,76.5021,1,Times of India,National,"On 26 December 2020, thousands of farmers led by Swaraj Abhiyan leader staged a protest in Jaisinghpur Khera (Rewari, Haryana) for the 14th day, against recently passed farm laws.",0,crowd size=thousands,1680633763,804,1687,11326,804,0
249,IND86787,26-Dec-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),NCP: Nationalist Congress Party; Former Government of India (2014-),6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Gujarat,Ahmadabad,Ahmadabad City,Ahmedabad,23.0257,72.5872,1,Asian News International,National,"On 26 December 2020, former Chief Minister of Gujarat associated with the NCP and his supporters staged a protest, in Ahmedabad (Gujarat), and attempted to march towards Delhi, against the three farms laws passed by the central government. Police intervened and detained the protesters.",0,crowd size=no report,1687985751,88573,320607,1897384,88573,0
261,IND86818,26-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BKU: Bharatiya Kisan Union; Farmers (India),6,,,0,60,,356,South Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,3,Chandigarh Tribune; Hindustan Times; Indian Express; Pioneer (India); Times of India,Subnational-National,"On 26 December 2020, for the 86th consecutive day, farmers under the banner of Bharatiya Kisan Union staged protests across Punjab (coded as Chandigarh). Farmers have blocked toll plazas, fuel pumps, shopping malls and staged sit-in outside the residences of several BJP leaders.",0,crowd size=no report,1714518464,21915,123161,422580,21915,0
264,IND86819,26-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Punjab,Jalandhar,Jalandhar-I,Jalandhar,31.3255,75.5791,2,Hindustan Times,National,"On 26 December 2020, farmers gheraoed (surrounded) the residence of a BJP leader in Jalandhar district (Punjab), against centrally passed farm laws.",0,crowd size=no report,1716919056,24121,93591,335294,24121,0
277,IND86758,25-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress; Government of India (2014-),6,,,0,60,,356,South Asia,India,Delhi,New Delhi,,Delhi - New Delhi,28.6321,77.2244,1,Indo-Asian News Service; Asian News International; Economic Times (India); Indian Express,National-International,"On 25 December 2020, Congress MPs from Punjab and Haryana staged a protest for the 19th day at Jantar Mantar in New Delhi (Delhi-New Delhi) demanding the convening of an immediate Parliament session to repeal centrally passed farm laws.",0,crowd size=no report,1680633732,42775,313290,547126,42775,0
297,IND86772,25-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Punjab,Sri Muktsar Sahib,Muktsar,Muktsar,30.4742,74.5166,1,Pioneer (India),National,"On 25 December 2020, farmers staged protests, disrupted the BJP's events and gheraoed (surrounded) BJP leaders across Punjab including Muktsar city, against centrally passed farm laws.",0,crowd size=no report,1680633751,4027,24510,44914,4027,0
327,IND86722,24-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Delhi,West Delhi,Punjabi Bagh,Delhi - Mundka,28.6831,77.0354,2,Hindustan Times; DNA Daily News and Analysis; Indian Express; United News of India,National,"On 24 December 2020, thousands of farmers from over 30 organisations staged a protest for the 28th day at the Tikri border near Mundka, New Delhi (Delhi-Mundka). Farmers are demonstrating against recently passed farm laws.",0,crowd size=thousands,1680633732,38013,126327,305667,38013,0
330,IND86727,24-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); BKU: Bharatiya Kisan Union; Buddhist Group (India),6,,,0,60,,356,South Asia,India,Delhi,East Delhi,Preet Vihar,Delhi - Patparganj,28.6331,77.3067,2,Hindustan Times; United News of India; Indian Express; DNA Daily News and Analysis,National,"On 24 December 2020, thousands of farmers from over 30 organisations including the BKU and Buddhist monks, staged a protest for the 28th day at the Delhi-Ghaziabad border at Ghazipur near Patparganj, New Delhi (Delhi-Patparganj). Farmers are demonstrating against recently passed farm laws.",0,crowd size=thousands,1680633732,56911,215084,238015,56911,0
340,IND86707,24-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Andhra Pradesh,Guntur,Amaravathi,Amaravati,16.5752,80.358,3,Deccan Chronicle,National,"On 24 December 2020, protests were held across Andhra Pradesh state (Guntur, AP) coded as Amaravati, demanding action against the killing of a Dalit girl.",0,crowd size=no report,1713291465,15676,26882,61780,15676,0
347,IND86677,23-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Gujarat,Surat,Surat City,Surat,21.1959,72.8302,1,Indian Express,National,"On 23 December 2020, farmers supported by INC members and under the banner of Kehdut Sangharsh Samithi, staged a protest, in Surat (Gujarat), against the three farms laws passed by the central government.",0,crowd size=no report,1618493121,49837,249461,983576,49837,0
352,IND86704,23-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),AITYC: All India Trinamool Youth Congress,6,,,0,60,,356,South Asia,India,West Bengal,Jalpaiguri,Matiali,Chalsa,26.88,88.7896,1,Siliguri Times,Subnational,"On 23 December 2020, members of Trinamool Yuva Congress staged a rally in Chalsa (Jalpaiguri district, West Bengal), protesting against a party member and an MLA joining BJP.",0,crowd size=no report,1610484588,4313,11498,19370,4313,0
356,IND86683,23-Dec-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),,5,Police Forces of India (2014-) Central Reserve Police Force,,1,15,,356,South Asia,India,Jharkhand,Giridih,Pirtanr,Pirtanr,24.0527,86.1624,2,Telegraph (India),National,"On 23 December 2020, a mob of thousands of villagers, allegedly instigated by Naxals, attacked and vandalized a CRPF Police picket, in Pandeydih village under Pirtanr Block of Giridih district (Jharkhand).",0,crowd size=thousands,1615927841,2417,5705,6025,5705,0
376,IND86679,23-Dec-20,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (India),Farmers (India),5,,,0,50,,356,South Asia,India,Haryana,Jind,Narwana,Uchana,29.4708,76.1814,1,Chandigarh Tribune; Telegraph (India),Subnational-National,"On 23 December 2020, farmers damaged a helipad where Haryana CM was to land and showed black flags at Uchana village (Jind, Haryana), demonstrating against recently passed farm laws.",0,crowd size=no report,1716919056,10050,17860,30917,17860,0
380,IND86634,22-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Kamrup Metropolitan,North Guwahati,Guwahati,26.1892,91.7722,1,Sentinel (India),Subnational,"On 22 December 2020, members of the All Assam Home Guard Volunteer Welfare Association (AAHGVWA) staged a demonstration in Guwahati (Assam) demanding amendment to the Assam Home Guard Act, 1947.",0,crowd size=no report,1618493158,10929,56151,181060,10929,0
386,IND86559,22-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Assam,Tinsukia,Tinsukia,Tinsukia,27.4923,95.3467,1,Telegraph (India); Northeast Now; Sentinel (India),Subnational-National,"On 22 December 2020, villagers of Laika and Dodhia started a protest in Tinsukia (Assam) demanding the state government to initiate measures to rehabilitate them. The protest went on for 35 days.",0,crowd size=no report,1612303073,3647,15744,23609,3647,0
391,IND86642,22-Dec-20,2020,1,Political violence,Battles,Armed clash,Military Forces of India (2014-) Rashtriya Rifles,Police Forces of India (2014-) Central Reserve Police Force; Police Forces of India (2014-) Special Operations Group,1,LeT: Lashkar-e-Taiba,,2,12,,356,South Asia,India,Jammu and Kashmir,Kulgam,Kulgam,Kulgam,33.6446,75.0192,2,Rising Kashmir,Subnational,"On 22 December 2020, RR, CRPF and SoG exchanged fire with two Let militants at Tongdounu area in Kulgam district (J&K). Both militants later surrendered to the forces.",0,,1651165013,15133,14219,14369,14369,0
400,IND86649,22-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); AIKS: All India Kisan Sabha,6,,,0,60,,356,South Asia,India,Maharashtra,Dhule,Dhule,Dhule,20.9013,74.7773,1,Hindustan Times,National,"On 22 December 2020, farmers under the banner of AIKS, staged a protest, in Dhule (Maharashtra), against the farm bills passed by the central government.",0,crowd size=no report,1680633745,55243,126021,451056,55243,0
401,IND86650,22-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); AIKS: All India Kisan Sabha,6,,,0,60,,356,South Asia,India,Maharashtra,Nashik,Malegaon,Malegaon,20.5496,74.5346,1,Hindustan Times,National,"On 22 December 2020, farmers under the banner of AIKS, staged a protest, in Malegaon (Maharashtra), against the farm bills passed by the central government.",0,crowd size=no report,1680633746,40753,188038,491413,40753,0
403,IND86637,22-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Haryana,Bhiwani,Loharu,Bahal,28.6277,75.6178,1,Indian Express,National,"On 22 December 2020, farmers staged a protest and raised black flags at Haryana CM and Agriculture and Farmers Welfare Minister in Bahal town (Bhiwani, Haryana), against inaction over centrally passed farm laws.",0,crowd size=no report,1680633748,4471,4930,8962,4471,0
417,IND86571,21-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Jammu,Jammu,Jammu,32.7357,74.8691,1,Daily Excelsior,Subnational,"On 21 December 2020, retired workers protested at Jammu city (J&K) over not being paid arrears.",0,crowd size=no report,1610484569,27327,81459,106698,27327,0
431,IND86624,21-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Telangana,Rangareddy,Abdullapur,Hayathnagar,17.3275,78.6048,1,The Hindu,National,"On 21 December 2020, a protest was held in Hayathnagar city (Rangareddy , TS) against a new banking system being implemented by the national bank of India.",0,crowd size=no report,1618493189,15072,46951,147627,15072,0
434,IND86617,21-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),DMK: Dravida Munnetra Kazhagam; Women (India),6,,,0,60,,356,South Asia,India,Tamil Nadu,Sivaganga,Sivaganga,Sivaganga,9.847,78.4835,1,The Hindu,National,"On 21 December 2020, members of the DMK women's wing held a protest in Sivaganga town (Sivaganga , TN) against the hike in prices of cooking gas introduced by the Central government.",0,crowd size=no report,1610484590,15134,42548,89352,15134,0
461,IND86568,21-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BKU: Bharatiya Kisan Union; Farmers (India),6,,,0,60,,356,South Asia,India,Haryana,Yamunanagar,Jagadhri,Yamunanagar,30.1279,77.2837,1,Times of India,National,"On 21 December 2020, farmers associated with the BKU staged a demonstration in Yamunanagar city (Haryana), in response to state-wide protest fasts launched by the BJP against SYL water sharing. Farmers have been protesting against centrally passed farm laws.",0,crowd size=no report,1680633762,66524,107190,130130,66524,0
485,IND86614,21-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Tamil Nadu,Pudukkottai,Pudukkottai,Pudukkottai,10.3812,78.8214,1,The Hindu,National,"On 21 December 2020, electricity association employees held a protest in Pudukkottai town (Pudukkottai, TN) demanding the state government regularize contract workers.",0,crowd size=no report,1715131158,13158,34899,68293,13158,0
491,IND86525,20-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),DF: Dogra Front; Shiv Sena,6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Jammu,Jammu,Jammu,32.7357,74.8691,1,Greater Jammu,Subnational,"On 20 December 2020, Dogra Front and Shiv Sena protested at Jammu city (J&K) against filling of review petition in Roshni Scam.",0,crowd size=no report,1610484576,27327,81459,106698,27327,0
496,IND86550,20-Dec-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),BJP: Bharatiya Janata Party,5,Civilians (India),CPI(M): Communist Party of India (Marxist); Journalists (India),7,57,Civilian targeting,356,South Asia,India,Tripura,West Tripura,Jirania,Khayerpur,23.8462,91.3431,1,Sentinel (India),National,"On 20 December 2020, allegedly members of Bhartiya Janata Party (BJP) attacked journalists ransacked the residence of the state committee member of Communist Party of India (Marxist) and the secretary of West Tripura district committee at Khayerpur (Tripura).",0,crowd size=no report,1610484587,3160,9152,25643,9152,0
509,IND86532,20-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); BKU: Bharatiya Kisan Union,6,,,0,60,,356,South Asia,India,Delhi,East Delhi,Preet Vihar,Delhi - Patparganj,28.6331,77.3067,2,Indian Express; United News of India; Hindustan Times; DNA Daily News and Analysis,National,"On 20 December 2020, thousands of farmers from over 30 organisations including the BKU staged a protest for the 24th day at the Delhi-Ghaziabad border at Ghazipur near Patparganj, New Delhi (Delhi-Patparganj). Farmers are demonstrating against recently passed farm laws.",0,crowd size=thousands,1680633732,56911,215084,238015,56911,0
527,IND86492,19-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Poonch,Mendhar,Mendhar,33.6104,74.1388,1,Daily Excelsior,Subnational,"On 19 December 2020, 3-4 election candidates and their supporters protested at Mendhar city (J&K) over the attack on Parveen Sarwar Khan during the last phase of the local level elections.",0,crowd size=at least 3-4,1610484569,18831,27219,32677,18831,0
529,IND86487,19-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Pandit Caste Group (India); Labor Group (India),6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Jammu,Jammu,Jammu,32.7357,74.8691,1,Daily Excelsior,Subnational,"On 19 December 2020, 45 candidates from the Pandit community protested at Jammu city (J&K) over government not issuing recruitment orders.",0,crowd size=45,1610484570,27327,81459,106698,27327,0
531,IND86498,19-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Madhya Pradesh,Indore,Indore,Indore,22.7179,75.8333,1,Free Press Journal (India),National,"On 19 December 2020, INC members staged a protest, in Indore (MP), against the increasing fuel and gas prices.",0,crowd size=no report,1610484576,53371,215934,858384,53371,0
546,IND86503,19-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress; Government of India (2014-),6,,,0,60,,356,South Asia,India,Delhi,New Delhi,,Delhi - New Delhi,28.6321,77.2244,1,Economic Times (India); Indian Express; Asian News International; Indo-Asian News Service,National-International,"On 19 December 2020, Congress MPs from Punjab and Haryana staged a protest for the 13th day at Jantar Mantar in New Delhi (Delhi-New Delhi) demanding the convening of an immediate Parliament session to repeal centrally passed farm laws.",0,crowd size=no report,1680633732,42775,313290,547126,42775,0
562,IND86511,19-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BKU: Bharatiya Kisan Union; Farmers (India),6,,,0,60,,356,South Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,3,Chandigarh Tribune; Hindustan Times; Indian Express; Pioneer (India); Times of India,Subnational-National,"On 19 December 2020, for the 79th consecutive day, farmers under the banner of Bharatiya Kisan Union staged protests across Punjab (coded as Chandigarh). Farmers have blocked toll plazas, fuel pumps, shopping malls and staged sit-in outside the residences of several BJP leaders.",0,crowd size=no report,1714518464,21915,123161,422580,21915,0
572,IND86443,18-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,,356,South Asia,India,Assam,Kamrup Metropolitan,North Guwahati,Guwahati,26.1892,91.7722,1,Time8,Subnational,"On 18 December 2020, students from four pharmaceutical colleges affiliated to Assam Science and Technology University (ASTU) held a day-night protest in Guwahati (Assam) against the university's decision to conduct examination.",0,crowd size=no report,1618493325,10929,56151,181060,10929,0
575,IND86439,18-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); Sikh Group (India),6,,,0,60,,356,South Asia,India,Andaman and Nicobar Islands,South Andaman,Port Blair,Port Blair,11.6661,92.7463,1,Andaman Sheekha; Andaman Chronicle,Subnational,"On 18 December 2020, a group of people belonging to Sikh community staged a protest at Port Blair city (South Andaman district, Andaman & Nicobar Islands), in solidarity with the ongoing farmers' protest against the agricultural legislations in the national capital in Delhi.",0,crowd size=no report,1645032563,8686,21243,79484,8686,0
